,Latitude,Longitude,Cluster,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020
"Encruzilhada do Sul, RS",-30.53619325,-52.51564721101028,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,0.0,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395,3.8644355991807395
"Engenheiro Beltrão, PR",-23.799600299999998,-52.2592684,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Engenho Velho, RS",-27.711450399999997,-52.91256920000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Entre Rios do Oeste, PR",-24.7002098,-54.2448233,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Entre Rios do Sul, RS",-27.5299266,-52.732543799999995,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Entre Rios, SC",-26.7236463,-52.563844499999995,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.220730565095224,31.220730565095224,31.220730565095224,31.220730565095224,31.220730565095224,31.220730565095224,31.220730565095224,31.220730565095224,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045,62.44146113019045
"Entre-Ijuís, RS",-28.361628000000003,-54.2670019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Enéas Marques, PR",-25.943558399999997,-53.163753899999996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Erebango, RS",-27.8542708,-52.302927399999994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Erechim, RS",-27.635014299999998,-52.273728799999994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,0.9446260225576694,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,1.8892520451153387,2.8338780676730084,2.8338780676730084,2.8338780676730084,2.8338780676730084,2.8338780676730084,2.8338780676730084,2.8338780676730084,3.7785040902306775,3.7785040902306775,3.7785040902306775
